work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size
2023,EXPERT,FULLTIME,85847,100,L
2023,INTERMEDIATE,CONTRACT,30000,100,S
2023,INTERMEDIATE,CONTRACT,25500,100,S
2023,EXPERT,FULLTIME,175000,100,M
2023,EXPERT,FULLTIME,120000,100,M
2023,EXPERT,FULLTIME,222200,0,L
2023,EXPERT,FULLTIME,136000,0,L
2023,EXPERT,FULLTIME,219000,0,M
2023,EXPERT,FULLTIME,141000,0,M
2023,EXPERT,FULLTIME,147100,0,M
2023,EXPERT,FULLTIME,90700,0,M
2023,EXPERT,FULLTIME,130000,100,M
2023,EXPERT,FULLTIME,100000,100,M
2023,JUNIOR,FULLTIME,213660,0,L
2023,JUNIOR,FULLTIME,130760,0,L
2023,EXPERT,FULLTIME,147100,0,M
2023,EXPERT,FULLTIME,90700,0,M
2023,EXPERT,FULLTIME,170000,0,M
2023,EXPERT,FULLTIME,150000,0,M
2023,INTERMEDIATE,FULLTIME,150000,100,M
2023,INTERMEDIATE,FULLTIME,110000,100,M
2023,EXPERT,FULLTIME,275000,0,M
2023,EXPERT,FULLTIME,174000,0,M
2023,EXPERT,FULLTIME,230000,100,M
2023,EXPERT,FULLTIME,143200,100,M
2023,EXPERT,FULLTIME,225000,0,M
2023,EXPERT,FULLTIME,156400,0,M
2023,EXPERT,FULLTIME,200000,0,M
2023,EXPERT,FULLTIME,130000,0,M
2023,EXPERT,FULLTIME,90000,0,M
2023,EXPERT,FULLTIME,72000,0,M
2023,EXPERT,FULLTIME,253200,0,M
2023,EXPERT,FULLTIME,90700,0,M
2023,EXPERT,FULLTIME,342810,0,M
2023,EXPERT,FULLTIME,184590,0,M
2023,INTERMEDIATE,FULLTIME,162500,0,M
2023,INTERMEDIATE,FULLTIME,130000,0,M
2023,INTERMEDIATE,FULLTIME,105380,0,M
2023,INTERMEDIATE,FULLTIME,64500,0,M
2023,JUNIOR,FULLTIME,100000,100,L
2023,JUNIOR,FULLTIME,30000,100,L
2022,INTERMEDIATE,FULLTIME,20984,50,L
2023,JUNIOR,FULLTIME,204620,0,L
2023,JUNIOR,FULLTIME,110680,0,L
2023,EXPERT,FULLTIME,270703,0,M
2023,EXPERT,FULLTIME,221484,0,M
2023,EXPERT,FULLTIME,212750,100,M
2023,EXPERT,FULLTIME,185000,100,M
2023,EXPERT,FULLTIME,262000,100,M
2023,EXPERT,FULLTIME,245000,100,M
2023,EXPERT,FULLTIME,275300,100,M
2023,EXPERT,FULLTIME,183500,100,M
2023,EXPERT,FULLTIME,218500,100,M
2023,EXPERT,FULLTIME,199098,100,M
2023,EXPERT,FULLTIME,203300,100,M
2023,EXPERT,FULLTIME,123600,100,M
2023,EXPERT,FULLTIME,189110,0,M
2023,EXPERT,FULLTIME,139000,0,M
2023,DIRECTOR,FULLTIME,258750,0,M
2023,DIRECTOR,FULLTIME,185000,0,M
2023,EXPERT,FULLTIME,231500,100,M
2023,EXPERT,FULLTIME,166000,100,M
2023,EXPERT,FULLTIME,172500,100,M
2023,EXPERT,FULLTIME,110500,100,M
2023,EXPERT,FULLTIME,238000,0,M
2023,EXPERT,FULLTIME,176000,0,M
2023,EXPERT,FULLTIME,237000,100,M
2023,EXPERT,FULLTIME,201450,100,M
2023,EXPERT,FULLTIME,309400,0,L
2023,EXPERT,FULLTIME,159100,0,L
2023,EXPERT,FULLTIME,115000,0,M
2023,EXPERT,FULLTIME,81500,0,M
2023,EXPERT,FULLTIME,237000,100,M
2023,EXPERT,FULLTIME,201450,100,M
2023,EXPERT,FULLTIME,280000,0,M
2023,EXPERT,FULLTIME,210000,0,M
2023,EXPERT,FULLTIME,280100,100,M
2023,EXPERT,FULLTIME,168100,100,M
2023,EXPERT,FULLTIME,193500,100,M
2023,EXPERT,FULLTIME,139000,100,M
2023,INTERMEDIATE,FULLTIME,65062,0,L
2023,EXPERT,FULLTIME,150000,100,M
2023,INTERMEDIATE,FULLTIME,69751,100,S
2022,JUNIOR,FULLTIME,300000,50,L
2023,INTERMEDIATE,FULLTIME,96578,100,L
2023,EXPERT,FULLTIME,185900,0,M
2023,EXPERT,FULLTIME,129300,0,M
2023,EXPERT,FULLTIME,225000,100,M
2023,EXPERT,FULLTIME,175000,100,M
2023,EXPERT,FULLTIME,185000,0,M
2023,EXPERT,FULLTIME,140000,0,M
2023,EXPERT,FULLTIME,48289,0,M
2023,EXPERT,FULLTIME,38631,0,M
2023,EXPERT,FULLTIME,105000,0,M
2023,EXPERT,FULLTIME,70000,0,M
2023,JUNIOR,FULLTIME,163196,0,M
2023,JUNIOR,FULLTIME,145885,0,M
2023,EXPERT,FULLTIME,217000,100,M
2023,EXPERT,FULLTIME,185000,100,M
2023,EXPERT,FULLTIME,202800,0,L
2023,EXPERT,FULLTIME,104300,0,L
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,65000,0,M
2023,EXPERT,FULLTIME,165000,0,M
2023,EXPERT,FULLTIME,132300,0,M
2023,EXPERT,FULLTIME,179170,0,M
2023,EXPERT,FULLTIME,94300,0,M
2023,EXPERT,FULLTIME,152500,0,M
2023,EXPERT,FULLTIME,116450,0,M
2023,EXPERT,FULLTIME,247300,0,M
2023,EXPERT,FULLTIME,133800,0,M
2023,EXPERT,FULLTIME,203000,0,M
2023,EXPERT,FULLTIME,133000,0,M
2023,JUNIOR,FULLTIME,220000,50,L
2022,JUNIOR,FULLTIME,56536,100,S
2023,EXPERT,FULLTIME,150000,0,M
2023,EXPERT,FULLTIME,120000,0,M
2023,EXPERT,FULLTIME,289800,0,M
2023,EXPERT,FULLTIME,214000,0,M
2023,EXPERT,FULLTIME,179820,0,M
2023,EXPERT,FULLTIME,143860,0,M
2023,EXPERT,FULLTIME,283200,100,M
2023,EXPERT,FULLTIME,188800,100,M
2023,EXPERT,FULLTIME,289800,0,M
2023,EXPERT,FULLTIME,214200,0,M
2023,EXPERT,FULLTIME,185900,0,M
2023,EXPERT,FULLTIME,129300,0,M
2023,EXPERT,FULLTIME,252000,0,M
2023,EXPERT,FULLTIME,129000,0,M
2023,INTERMEDIATE,FULLTIME,155000,0,M
2023,INTERMEDIATE,FULLTIME,140000,0,M
2023,EXPERT,FULLTIME,161800,100,M
2023,EXPERT,FULLTIME,141600,100,M
2023,EXPERT,FULLTIME,342300,0,L
2023,EXPERT,FULLTIME,176100,0,L
2023,INTERMEDIATE,FULLTIME,100000,100,M
2023,INTERMEDIATE,FULLTIME,70000,100,M
2023,JUNIOR,FULLTIME,85000,0,M
2023,JUNIOR,FULLTIME,65000,0,M
2023,EXPERT,FULLTIME,138784,100,M
2023,EXPERT,FULLTIME,83270,100,M
2023,JUNIOR,FULLTIME,75000,0,M
2023,JUNIOR,FULLTIME,70000,0,M
2023,EXPERT,FULLTIME,204500,0,M
2023,EXPERT,FULLTIME,138900,0,M
2023,EXPERT,FULLTIME,318300,100,M
2023,EXPERT,FULLTIME,212200,100,M
2023,EXPERT,FULLTIME,95000,100,M
2023,EXPERT,FULLTIME,75000,100,M
2023,EXPERT,FULLTIME,195000,0,M
2023,EXPERT,FULLTIME,160000,0,M
2023,EXPERT,FULLTIME,230000,0,M
2023,EXPERT,FULLTIME,143200,0,M
2023,INTERMEDIATE,FULLTIME,100000,100,M
2023,INTERMEDIATE,FULLTIME,70000,100,M
2023,INTERMEDIATE,FULLTIME,105000,50,L
2023,INTERMEDIATE,FULLTIME,20670,100,L
2023,INTERMEDIATE,FULLTIME,46178,0,M
2023,INTERMEDIATE,FULLTIME,42533,0,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,115000,0,M
2023,EXPERT,FULLTIME,168400,0,M
2023,EXPERT,FULLTIME,105200,0,M
2023,EXPERT,FULLTIME,309400,0,L
2023,EXPERT,FULLTIME,159100,0,L
2023,EXPERT,FULLTIME,190000,0,M
2023,EXPERT,FULLTIME,150000,0,M
2023,INTERMEDIATE,FULLTIME,162500,0,M
2023,INTERMEDIATE,FULLTIME,130000,0,M
2023,EXPERT,FULLTIME,150000,100,M
2023,EXPERT,FULLTIME,120000,100,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,120000,0,M
2023,EXPERT,FULLTIME,222200,0,L
2023,EXPERT,FULLTIME,136000,0,L
2023,EXPERT,FULLTIME,54685,100,M
2023,EXPERT,FULLTIME,42533,100,M
2023,EXPERT,FULLTIME,241000,0,M
2023,EXPERT,FULLTIME,155000,0,M
2023,EXPERT,FULLTIME,220000,100,M
2023,EXPERT,FULLTIME,190000,100,M
2023,INTERMEDIATE,FULLTIME,66837,0,M
2023,INTERMEDIATE,FULLTIME,54685,0,M
2020,DIRECTOR,FULLTIME,15000,0,M
2023,INTERMEDIATE,FULLTIME,85066,100,M
2023,INTERMEDIATE,FULLTIME,57723,100,M
2023,JUNIOR,FULLTIME,85000,100,M
2023,JUNIOR,FULLTIME,75000,100,M
2023,EXPERT,FULLTIME,160000,0,M
2023,EXPERT,FULLTIME,140000,0,M
2023,INTERMEDIATE,FULLTIME,300000,0,M
2023,INTERMEDIATE,FULLTIME,250000,0,M
2023,EXPERT,FULLTIME,228000,0,M
2023,EXPERT,FULLTIME,186000,0,M
2023,EXPERT,FULLTIME,190000,0,M
2023,EXPERT,FULLTIME,170000,0,M
2023,INTERMEDIATE,FULLTIME,230000,0,M
2023,INTERMEDIATE,FULLTIME,200000,0,M
2023,EXPERT,FULLTIME,180000,100,M
2023,EXPERT,FULLTIME,115000,100,M
2023,EXPERT,FULLTIME,200000,100,M
2023,EXPERT,FULLTIME,115000,100,M
2023,EXPERT,FULLTIME,53654,50,S
2023,DIRECTOR,FULLTIME,220000,0,M
2023,DIRECTOR,FULLTIME,205000,0,M
2023,INTERMEDIATE,FULLTIME,180000,0,M
2023,INTERMEDIATE,FULLTIME,130000,0,M
2023,EXPERT,FULLTIME,200000,100,M
2023,EXPERT,FULLTIME,150000,100,M
2023,EXPERT,FULLTIME,215000,0,M
2023,EXPERT,FULLTIME,170000,0,M
2023,EXPERT,FULLTIME,247500,0,M
2023,EXPERT,FULLTIME,172200,0,M
2023,EXPERT,FULLTIME,224000,0,M
2023,EXPERT,FULLTIME,176000,0,M
2023,EXPERT,FULLTIME,120000,100,M
2023,EXPERT,FULLTIME,75000,100,M
2023,JUNIOR,FULLTIME,17022,100,L
2023,EXPERT,FULLTIME,68318,100,M
2023,INTERMEDIATE,FULLTIME,75020,0,M
2023,EXPERT,FULLTIME,140000,0,M
2023,EXPERT,FULLTIME,120000,0,M
2023,EXPERT,FULLTIME,128000,0,M
2023,EXPERT,FULLTIME,81500,0,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,115000,0,M
2023,EXPERT,FULLTIME,185000,0,M
2023,EXPERT,FULLTIME,140000,0,M
2023,DIRECTOR,FULLTIME,329500,0,M
2023,DIRECTOR,FULLTIME,269600,0,M
2023,EXPERT,FULLTIME,100000,0,M
2023,EXPERT,FULLTIME,80000,0,M
2023,EXPERT,FULLTIME,250000,0,M
2023,EXPERT,FULLTIME,162500,0,M
2023,INTERMEDIATE,FULLTIME,200000,100,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,100000,0,M
2023,DIRECTOR,FULLTIME,145000,0,M
2023,DIRECTOR,FULLTIME,115000,0,M
2023,EXPERT,FULLTIME,203500,0,M
2023,EXPERT,FULLTIME,152000,0,M
2023,EXPERT,FULLTIME,239000,0,L
2023,EXPERT,FULLTIME,122900,0,L
2023,EXPERT,FULLTIME,237000,0,M
